id,falha_1,falha_2,falha_3,falha_4,falha_5,falha_6,falha_outros
3688,0,0,0,0,0,0,0
3689,0,1,0,0,0,0,0
3690,0,1,0,0,0,0,0
3691,0,0,0,0,0,0,0
3692,0,0,0,0,0,0,1
3693,0,0,1,0,0,0,0
3694,0,0,0,0,0,0,1
3695,0,0,1,0,0,0,0
3696,0,0,0,0,0,0,0
3697,0,0,0,0,0,0,0
3698,0,0,0,0,0,0,0
3699,0,0,0,0,0,0,0
3700,0,0,0,0,0,0,0
3701,0,0,0,0,0,1,0
3702,0,0,0,0,0,1,0
3703,0,0,0,0,0,0,1
3704,0,0,1,0,0,0,0
3705,0,0,0,0,0,1,0
3706,1,0,0,0,0,0,0
3707,0,0,0,0,0,0,0
3708,0,0,0,0,0,0,0
3709,0,0,0,0,0,0,0
3710,0,0,0,0,0,0,1
3711,0,0,0,0,0,1,0
3712,0,0,0,0,0,0,1
3713,0,0,1,0,0,0,0
3714,0,0,0,0,0,0,0
3715,0,0,0,0,0,0,0
3716,0,0,1,0,0,0,0
3717,0,0,0,0,0,0,0
3718,0,1,0,0,0,0,0
3719,0,0,0,0,0,1,0
3720,0,0,0,0,0,0,0
3721,0,0,0,0,0,0,1
3722,0,0,0,0,0,0,0
3723,0,0,0,0,0,0,0
3724,0,0,1,0,0,0,0
3725,0,0,0,0,0,1,0
3726,0,0,0,0,0,0,0
3727,0,0,1,0,0,0,0
3728,0,0,0,0,0,0,1
3729,0,0,1,0,0,0,0
3730,0,0,0,0,0,0,1
3731,0,0,0,0,0,0,0
3732,0,0,0,0,0,0,1
3733,0,0,0,0,0,0,0
3734,0,0,0,0,0,0,0
3735,0,0,0,0,0,1,0
3736,0,0,1,0,0,0,0
3737,0,0,0,0,0,0,1
3738,0,0,0,0,0,0,1
3739,0,0,0,0,0,1,0
3740,0,0,0,0,0,0,1
3741,0,0,0,0,0,0,1
3742,0,0,0,0,0,0,0
3743,0,0,0,0,0,0,0
3744,0,0,1,0,0,0,0
3745,0,0,0,0,1,0,0
3746,0,1,0,0,0,0,0
3747,0,0,0,0,0,0,0
3748,0,0,0,0,0,0,0
3749,0,0,0,0,0,0,0
3750,0,0,1,0,0,0,0
3751,0,0,0,0,0,0,1
3752,0,0,0,0,0,1,0
3753,0,0,0,0,0,0,0
3754,0,0,0,0,0,0,0
3755,0,0,1,0,0,0,0
3756,0,0,0,0,0,1,0
3757,0,0,0,0,0,0,1
3758,0,0,0,0,0,0,0
3759,1,0,0,0,0,0,0
3760,0,0,1,0,0,0,0
3761,0,1,0,0,0,0,1
3762,0,0,0,0,0,0,0
3763,0,0,0,0,0,0,0
3764,0,0,1,0,0,0,0
3765,0,0,1,0,0,0,0
3766,0,0,0,0,0,0,1
3767,0,0,0,0,0,0,0
3768,0,0,0,0,0,0,0
3769,0,0,0,0,0,1,0
3770,0,0,1,0,0,0,0
3771,0,0,0,0,0,0,1
3772,0,0,0,0,1,0,0
3773,0,0,1,0,0,0,0
3774,0,0,0,0,0,0,1
3775,0,0,1,0,0,0,0
3776,0,0,1,0,0,0,0
3777,0,0,1,0,0,0,0
3778,0,0,0,0,0,0,0
